,work_program_id,description_text
25,24612,"Производственная, научно-исследовательская практика реализуется в бакалавриате в течение 3 семестров и является обязательной для прохождения всеми студентами. В ходе исследовательской практики студенты в составе научных групп пробуют свои силы в решении творческих задач"
27,16422,"Содержание дисциплины охватывает круг вопросов, связанных с основными проблемами взаимодействия природы и общества, защитой окружающей среды, экономией энергетических, сырьевых и других природных ресурсов. А также с развитием экологического мышления, необходимого для осознания роли бакалавра в реализации достижений науки и техники на современном этапе развития человеческого общества, освоением осн"
28,32807,"Изучение дисциплины реализуется в течении двух семестров.В процессе изучения дисциплины во 2-м семестре студенты знакомятся  с основами низкоуровневого программирования для ЭВМ и систем, с подсистемами ввода-вывода, изучают  основы организации ЭВМ и передачи данных, организацию в базовой ЭВМ программно-управляемого обмена данными в режиме прерывания программы. При выполнении лабораторных работ студенты будут разрабатывать комплексы программ и составлять методику проверки правильности выполнения разработанного комплекса программ на БЭВМ."
31,32806,"Изучение дисциплины реализуется в течении двух семестров.В процессе изучения дисциплины в 1-м семестре студенты  знакомятся с основами архитектуры ЭВМ и операционных систем,  с устройством и системой команд базовой ЭВМ, порядком выполнения машинных команд, изучают основные команды ОС семейства UNIX."
36,24623,"Цель курса – формирование представлений о термодинамике экологических систем, регуляции экологических процессов, а также приобретение навыков владения современными методами исследований тепловых свойств природных объектов."
37,24625,"В курсе рассматриваются традиционные и современные энергетические технологии, обсуждаются плюсы и минусы различных источников энергии и экологические последствия их использования.
На курсе вы узнаете:
- из каких источников можно получать энергию, и каковы возможности и ограничения каждого из них;
- как работают электростанции и устройства, вырабатывающие энергию из разных источников; 
- какие способы получения энергии эффективнее в разных географических и климатических условиях;
- как рассчитать количество солнечных панелей для вашего дома;
- как экономить энергию и снижать негативное влияние на окружающую среду, и что именно вы можете сделать для обеспечения энергоэффективного будущего."
39,24622,"Дисциплина ""математическое моделирование в экологии"" посвящена изучению возможностей представления физических процессов и устройств в виде математической и численной модели. После освоения курса обучающиеся будут иметь представление о том, каким образом можно представить тепловые, гидравлические и иные физические процессы в виде численной модели, научатся проводить расчет данной модели и представлять результаты расчетов в численном и графическом видах."
51,24642,Курс посвящен практической стороне создания и настройки электронных схем и устройств.В курсе рассматриваются:1. Организация работ в области электроники2. Электронное оборудование3. Электронная элементная база и ее особенности4. Сборка и монтаж электронных устройств5. Электромагнитная совместимость приборов и устройств6. Основы анализа и поиска неисправностей
55,32840,"Курс по принятию управленческих решений в магистратуре поможет вам понять ключевые концепции и принципы формулирования стратегии в организации. Он включает в себя анализ и обсуждение традиционных и современных методов разработки стратегии, в том числе, принятия управленческих решений. Вы узнаете, как анализировать стратегическое положение организации и как обдумывать стратегический выбор. Вы научитесь предлагать новые взгляды на формулирование стратегии организации, в которой вы будете работать в будущем."
56,32841,"В рамках курса студенты определят для себя роль менеджера продуктов, разберутся в основных процессах, сопровождающих создание продуктов, рассмотрят циклы дискавери и деливери, а также предпосылки к появлению продуктового подхода."
59,32845,"В рамках курса рассматриваются теоретические и практические основы выбора способа правовой охраны правовые акты в области охраны результатов интеллектуальной деятельности и средств индивидуализации юридических лиц, товаров и услуг и метода защиты прав на них, а также основы управления охраняемыми объектами интеллектуальной собственности на предприятии (учет, инвентаризация, постановка на бухгалтерский учет в качестве нематериальных активов, коммерциализация). Обучающиеся научатся применять на практике основные положения нормативно-правовых актов в сфере интеллектуальной собственности и использовать их при получении правовой охраны результатов интеллектуальной деятельности и защите прав на объекты интеллектуальной собственности."
62,24656,"The course ""History of art & science"" provides comprehensive theory of and history of art & science. It outlines the historical context and background for the emergence of this type of art, as well as considers its key direction, names and projects."
63,24657,"In this course, you will learn how to work on the prototype of your project and create multisensory experiences for exhibitions using the instruments of exhibition design and technology. We will cover the theoretical background of exhibition design; practical approaches and inspiring case studies; as well as step-by-step guidance to develop your own experiential exhibition design. 

Over 5 weeks we will cover:

Exhibition design theory
Discover the history and theory of exhibition design through case studies from the fields of modern and contemporary art, art & science and science & technology museums. We will focus particularly on interactive tools, multisensory spaces and new media.

Technological tools
Explore how to create multisensory experiences that build strong narratives for the audience: from traditional tools such as light design, photo, graphics and narration enhancement; to digital tools like sensory design, gamification techniques and UX design technologies.

Production processes
Learn the important production and organisational processes involved in creating multisensory exhibitions, including team formation, working with contractors and necessary managerial tips. 

Your own project development
Develop a new exhibition concept during the course or bring an existing project idea to improve. The final session will be dedicated to the participants’ project review. 

By the end of the course, you will have an understanding of the history of experiential exhibition design, learn what tools to use to create your own multisensory exhibitions and be equipped with the know-how to manage the realisation process."
64,24658,"The course considers strategies and tools essential for the practice of a young artist. Students will gain practical skills in drawing up a portfolio, writing explications and working with a technical team, collaborating with a gallery.
It will also cover the main art institutions working in the field of art & science: from international museums to online festivals."
65,24659,"The course is designed to introduce students to the use of text as a medium for artistic expression. Throughout the course, students will explore various ways in which artists have incorporated text into their work. Through a combination of lectures, readings, and hands-on projects, students will develop a deeper understanding of the role that text can play in contemporary art practice. They will learn how to use text as a tool for communication, critique, and social commentary, and will explore the ways in which text can be combined with other media such as photography, video, and performance."
66,32846,"Целью дисциплины является выработка эффективных способов управления проектами в высокотехнологичных организациях, формирование теоретических знаний, умений и навыков решения проектных задач."
67,32849,"Дисциплина призвана обеспечить теоретическую и практическую  подготовку  в области исследования и развития клиентского опыта с помощью методов и инструментов анализа потребителя. Теоретическую подготовку в области экспериментального маркетинга и навыки оценки перспективности, целесообразности, способов и возможностей его применения. Студенты научатся проводить исследования потребителя, прорабатывать карту пути клиента, работать с потребительским опытом, тестировать востребованность идей на потенциальном потребителе, формировать жизнеспособные выводы и рекомендации для компаний по взаимодействию с аудиторией и применять инструменты экспериментального маркетинга в условиях неопределенности."
68,32848,"Курс по стратегическому обновлению и управлению изменений в магистратуре поможет вам в области разработок и выстраивании стратегических планов и альтернатив развития. Он включает в себя  три раздела: разработка стратегического видения и миссии организации,Оценка текущей позиции организации и формирование стратегических вариантов развития, разработка стратегических сценариев, разработка стратегического плана, оценка альтернатив и адаптация стратегии . После прохождения данной дисциплины вы поймете как эффективно подходить к понятию стратегическое планирование."
69,24671,"Дисциплина ""Наноматериалы и нанотехнологии"" знакомит студентов с физическими явлениями и прцессами, которые обуславливают изменение свойств вещества при его переходе из массивного состояния в нанодисперсное. 
	Обсуждаются современные методы нанодиагностики, в том числе, основанные на плазмонных свойствах металлических наночастиц. 
	В качестве практического использования наноматериалов и нанотехнологий рассмотрены галогенидосеребряные светочувствительные среды для голографии и нанопористые силикатные матрицы с различными наполнителями.
	Лабораторный практикум разработан в научном коллективе и основан на его разработках.  Лабораторные работы знакомят студентов с исследованием неорганических наносуспензий методом динамического рассеяния света в сочетании с процессом седиментации."
70,24423,"Students will know how the routine tasks in chemistry and materials science can be solved by means of computational techniques via writing programming scripts, parsing databases with subsequent post-processing towards quantitative results. Students will be able to determine the main idea of the tasks, find the core try to solve it via computations and simulations of required chemical task in the most efficient way, determine how and where to extract available required data. Students will have the skills of science view and navigation in scientific space, databases parsing, writing basic scripts on chemical programming, pre- and post-processing."
71,32865,"В результате освоения дисциплины будут получены навыки выбора, реализации и применения методов обработки медицинских изображений в зависимости от особенностей их формирования, будет получен опыт работы с современными медицинскими системами визуализации, а также сформированы компетенции по корректному анализу и интерпретации биомедицинских данных. Полученные навыки востребованы как в клинической практике, так и в научных исследованиях в области биологии и экспериментальной медицины."
72,32866,"Дисциплина посвящена аппаратным средствам, использующимся для реализации систем технического зрения (СТЗ): матричным фотоприемникам изображения, специализированным АЦП, микропроцессорам и системам на кристалле, специализированной элементной базе.
Рассматриваются методы управления формирователями видеосигнала, основным интерфейсам, используемым в СТЗ и универсальным сетевым интерфейсам.
Изучаются основные аппаратные решения для реализации нейронных сетей и глубокого обучения, используемых в СТЗ."
73,32867,"В рамках дисциплины рассматриваются современные методы формирования и анализа данных о трехмерной структуре объектов методами оптической когерентной томографии и цифровой голографии, а также рынок и особенности применения таких систем."
74,32868,"Курс знакомит студентов с современными многоканальными системам, их особенностям построения и алгоритмами обработки изображений, получаемых с нескольких измерительных каналов, а также схемы построения тепловизионных систем. Полученные навыки найдут применение в задачах дистанционного зондирования земли, системах безопасности, трехмерной реконструкции, расширения динамического диапазона яркости (HDR), дополненной реальности и многих других."
75,32869,В рамках изучения данной дисциплины рассматриваются методы хранения и представления трёхмерных данных.
76,32870,"В курсе рассматриваются этапы жизненного цикла изделий и промышленные автоматизированные системы, основные положения и принципы CALS, автоматизированные системы делопроизводства, системы управление проектными данными PDM, и другие. Изучаются вопросы организации работ с применением нормативной документации, сопровождающей разработку оптического прибора. Также рассматриваются стандарты, сопровождающие научно-исследовательские и проектные работы, проверку хода выполнения работ и фактически производимых затрат, предварительные испытания, приемку и другие этапы процесса исследований."
77,32872,Курс включает в себя изучение создание пользовательского интерфейса при помощи библиотеки Qt для задач технического зрения.
80,8302,"Практика нацелена на развитие индивидуальных и личностных способностей каждого обучающегося в рамках реализации собственных научно-исследовательских проектов.
Если вы обучаетесь на русском языке и планируете сдавать отчетную документацию на русском языке, то вам необходимо выбрать данный вид практики"
82,16496,Ознакомление с принципами проектной студенческой деятельности на факультете фотоники
83,16497,Ознакомление с принципами проектной студенческой деятельности на факультете фотоники
86,8306,"Целью освоения дисциплины является достижение следующих результатов обучения: Практическое владение русским языком в различных видах речевой деятельности - Знание основ построения текстов академической и деловой сферы. - Знание норм композиционного, стилистического и технического оформления текста на иностранном языке. - Умение использовать различные формы и виды письменной коммуникации в ситуациях профессионального общения. - Умение четко и ясно излагать свою точку зрения на иностранном языке в письменной форме. - Знание основных понятий и терминологии своей профессиональной области в объеме, позволяющем осуществлять эффективную коммуникацию на иностранном языке. - Знание технологий подготовки устных сообщений и докладов. - Знание правил ведения публичной речи, дискуссии и полемики. - Умение пользоваться иностранным языком как средством профессионального общения. Кол-во семестров: 2"
87,8305,"Целью освоения дисциплины является достижение следующих результатов обучения: Практическое владение русским языком в различных видах речевой деятельности - Знание основ построения текстов академической и деловой сферы. - Знание норм композиционного, стилистического и технического оформления текста на иностранном языке. - Умение использовать различные формы и виды письменной коммуникации в ситуациях профессионального общения. - Умение четко и ясно излагать свою точку зрения на иностранном языке в письменной форме. - Знание основных понятий и терминологии своей профессиональной области в объеме, позволяющем осуществлять эффективную коммуникацию на иностранном языке. - Знание технологий подготовки устных сообщений и докладов. - Знание правил ведения публичной речи, дискуссии и полемики. - Умение пользоваться иностранным языком как средством профессионального общения. Кол-во семестров: 2"
88,24685,"Дисциплина ""Технологии модификации оптических материалов"" знакомит студентов с технологическими приемами, которые используются для изменения свойств оптических материалов при создании устройств фотоники и оптоэлектроники. В рамках дисциплины студенты познакомятся с наиболее распространенными на современном производстве методиками модификации оптических материалов, самостоятельно реализуют несколько из них и оценят эффективность этих методик для различных целей."
89,16503,"Рассматриваются вопросы генерации, управления и детектирования фотонов в видимом, ультрафиолетовом и ближнем оптическом диапазоне. Фотоника охватывает широкий спектр оптических, электрооптических и оптоэлектронных устройств и их разнообразных применений. Коренные области исследований фотоники включают волоконную и интегральную оптику, в том числе нелинейную оптику, физику и технологию полупроводниковых соединений, полупроводниковые лазеры, оптоэлектронные устройства, высокоскоростные электронные устройства."
90,32886,"Дисциплина ""Количественные методы в финансах"" позволяет сформировать устойчивые навыки использования математических и статистических методов при управлении финансовыми ресурсами предприятия, а также на основе числовых характеристик объекта (явления) исследования оценить и проанализировать систему количественных показателей и, опираясь на математические модели, принять эффективные решения в сфере управления финансами."
91,32887,"Правовое регулирование финансовых операций выступает важной составляющей процесса финансовых отношений, регулирующих финансовую сферу. Основная задача курса – ознакомление с содержанием норм финансового права и практикой их применения. Целью изучения дисциплины «Правовое регулирование финансовых операций» является приобретение студентами знаний и навыков, связанных с вопросами правового регулирования финансовой деятельности, формирование способностей к юридически грамотным решениям и действиям, в условиях функционирования финансовой системы."
92,32888,"The course ""Business Model Innovation"" is designed to explore cutting-edge strategies and methodologies to create and refine innovative business models. Students will gain in sights into identifying market opportunities, understanding customer needs, and designing disruptive businessmodels that can drive sustainable growth and competitive advantage. Through case studies and practical exercises, participants will learn to analyze and adaptexisting businessmodels, harnessing creativity and strategic thinking to fosterinnovation with inorganizations. This course equips students with the skill stonavigated ynamic market lands cape sand developagile business models that thrive in a never-changing busines senvironment. It is ideal for entrepreneurs, business professionals, and a spiring leaders seeking to stay a head in the competitive global market place."
93,24694,"Дисциплина ""Прикладная голография"" знакомит студентов с физическими основами голографического метода записи и восстановления волновых полей, а также с основными практическими приложениями данного метода"
94,24707,"Факультатив ""Современные проблемы фотоники и оптоинформатики"" познакомит студентов с современными теориями строения оптических материалов, их основными оптическими характеристиками, способами их изменения, актуальной технологией синтеза оптических материалов, способами определения их качества, а также методиками улучшения их механических характеристик и применениями в в промышленном производстве."
95,32899,"Данный курс математического анализа проходит в 1 семестре может быть продолжен во 2 семестре (РПД № 35845). Он подходит для студентов, успешно освоивших школьный курс математики. В курсе изучаются разделы, связанные с функцией одной вещественной переменной: введение в математический анализ; предел последовательности и функции, непрерывность и дифференцируемость функции. В процессе обучения студенты посещают лекции и практические занятия, а также выполняют задания в часы самостоятельной работы. В рамках курса студенты изучают теоретический материал, закрепляют технику математических вычислений, отрабатывают методы математического анализа, демонстрируют знание и понимание изученного материала, умение применять математические понятия и утверждения при решении задач. В конце семестра проводится экзамен."
