work_program_id,description_text,references
24625,"в курсе рассматриваются традиционные и современные энергетические технологии, обсуждаются плюсы и минусы различных источников энергии и экологические последствия их использования.
на курсе вы узнаете:
- из каких источников можно получать энергию, и каковы возможности и ограничения каждого из них;
- как работают электростанции и устройства, вырабатывающие энергию из разных источников; 
- какие способы получения энергии эффективнее в разных географических и климатических условиях;
- как рассчитать количество солнечных панелей для вашего дома;
- как экономить энергию и снижать негативное влияние на окружающую среду, и что именно вы можете сделать для обеспечения энергоэффективного будущего.","На курсе вы узнаете, как работают электростанции и устройства, вырабатывающие энергию из разных источников."
24622,"дисциплина ""математическое моделирование в экологии"" посвящена изучению возможностей представления физических процессов и устройств в виде математической и численной модели. после освоения курса обучающиеся будут иметь представление о том, каким образом можно представить тепловые, гидравлические и иные физические процессы в виде численной модели, научатся проводить расчет данной модели и представлять результаты расчетов в численном и графическом видах.","Учебная дисциплина ""математическое моделирование в экологии"" посвящена изучению возможностей представления физических процессов и устройств в виде математической и численной модели."
24642,курс посвящен практической стороне создания и настройки электронных схем и устройств.в курсе рассматриваются:1. организация работ в области электроники2. электронное оборудование3. электронная элементная база и ее особенности4. сборка и монтаж электронных устройств5. электромагнитная совместимость приборов и устройств6. основы анализа и поиска неисправностей,В курсе рассматриваются:1. электромагнитная совместимость приборов и устройств5. основы анализа и поиска неисправностей.
32840,"курс по принятию управленческих решений в магистратуре поможет вам понять ключевые концепции и принципы формулирования стратегии в организации. он включает в себя анализ и обсуждение традиционных и современных методов разработки стратегии, в том числе, принятия управленческих решений. вы узнаете, как анализировать стратегическое положение организации и как обдумывать стратегический выбор. вы научитесь предлагать новые взгляды на формулирование стратегии организации, в которой вы будете работать в будущем.",Курс по принятию управленческих решений в магистратуре поможет вам понять основные принципы и принципы разработки стратегии в организации.
32841,"в рамках курса студенты определят для себя роль менеджера продуктов, разберутся в основных процессах, сопровождающих создание продуктов, рассмотрят циклы дискавери и деливери, а также предпосылки к появлению продуктового подхода.","Студенты разберутся в основных процессах создания продуктов, рассмотрят основные процессы, которые сопровождают создание продуктов."
32845,"в рамках курса рассматриваются теоретические и практические основы выбора способа правовой охраны правовые акты в области охраны результатов интеллектуальной деятельности и средств индивидуализации юридических лиц, товаров и услуг и метода защиты прав на них, а также основы управления охраняемыми объектами интеллектуальной собственности на предприятии (учет, инвентаризация, постановка на бухгалтерский учет в качестве нематериальных активов, коммерциализация). обучающиеся научатся применять на практике основные положения нормативно-правовых актов в сфере интеллектуальной собственности и использовать их при получении правовой охраны результатов интеллектуальной деятельности и защите прав на объекты интеллектуальной собственности.","В рамках курса изучаются теоретические и практические основы правовой охраны результатов интеллектуальной деятельности и средств индивидуализации юридических лиц, товаров и услуг."
32846,"целью дисциплины является выработка эффективных способов управления проектами в высокотехнологичных организациях, формирование теоретических знаний, умений и навыков решения проектных задач.",Цель дисциплины - выработка эффективных способов управления проектами в высокотехнологичных организациях.
32849,"дисциплина призвана обеспечить теоретическую и практическую  подготовку  в области исследования и развития клиентского опыта с помощью методов и инструментов анализа потребителя. теоретическую подготовку в области экспериментального маркетинга и навыки оценки перспективности, целесообразности, способов и возможностей его применения. студенты научатся проводить исследования потребителя, прорабатывать карту пути клиента, работать с потребительским опытом, тестировать востребованность идей на потенциальном потребителе, формировать жизнеспособные выводы и рекомендации для компаний по взаимодействию с аудиторией и применять инструменты экспериментального маркетинга в условиях неопределенности.",Студенты научаются проводить исследования и анализировать потребительский опыт с помощью методов и инструментов экспериментального маркетинга.
32848,"курс по стратегическому обновлению и управлению изменений в магистратуре поможет вам в области разработок и выстраивании стратегических планов и альтернатив развития. он включает в себя  три раздела: разработка стратегического видения и миссии организации,оценка текущей позиции организации и формирование стратегических вариантов развития, разработка стратегических сценариев, разработка стратегического плана, оценка альтернатив и адаптация стратегии . после прохождения данной дисциплины вы поймете как эффективно подходить к понятию стратегическое планирование.",Курс по стратегическому обновлению и управлению изменениями в магистратуре поможет вам понять стратегию и стратегию организации.
24671,"дисциплина ""наноматериалы и нанотехнологии"" знакомит студентов с физическими явлениями и прцессами, которые обуславливают изменение свойств вещества при его переходе из массивного состояния в нанодисперсное. 
	обсуждаются современные методы нанодиагностики, в том числе, основанные на плазмонных свойствах металлических наночастиц. 
	в качестве практического использования наноматериалов и нанотехнологий рассмотрены галогенидосеребряные светочувствительные среды для голографии и нанопористые силикатные матрицы с различными наполнителями.
	лабораторный практикум разработан в научном коллективе и основан на его разработках.  лабораторные работы знакомят студентов с исследованием неорганических наносуспензий методом динамического рассеяния света в сочетании с процессом седиментации.","Наноматериалы и нанотехнологии рассказывают студентам о физических явлениях и прцессах, которые влияют на изменение свойств вещества при переходе из массивного состояния в крупнодисперсное."
32865,"в результате освоения дисциплины будут получены навыки выбора, реализации и применения методов обработки медицинских изображений в зависимости от особенностей их формирования, будет получен опыт работы с современными медицинскими системами визуализации, а также сформированы компетенции по корректному анализу и интерпретации биомедицинских данных. полученные навыки востребованы как в клинической практике, так и в научных исследованиях в области биологии и экспериментальной медицины.",В результате освоения дисциплины будут получены навыки работы с современными медицинскими системами визуализации.
32866,"дисциплина посвящена аппаратным средствам, использующимся для реализации систем технического зрения (стз): матричным фотоприемникам изображения, специализированным ацп, микропроцессорам и системам на кристалле, специализированной элементной базе.
рассматриваются методы управления формирователями видеосигнала, основным интерфейсам, используемым в стз и универсальным сетевым интерфейсам.
изучаются основные аппаратные решения для реализации нейронных сетей и глубокого обучения, используемых в стз.",В стз изучаются основные аппаратные решения для реализации нейронных сетей и глубокого обучения.
32867,"в рамках дисциплины рассматриваются современные методы формирования и анализа данных о трехмерной структуре объектов методами оптической когерентной томографии и цифровой голографии, а также рынок и особенности применения таких систем.","В рамках дисциплины рассматриваются современные методы формирования и анализа данных о трехмерной структуре объектов, а также рынок и особенности применения таких систем."
32869,в рамках изучения данной дисциплины рассматриваются методы хранения и представления трёхмерных данных.,В рамках изучения данной дисциплины изучаются методы хранения и представления трёхмерных данных.
8302,"практика нацелена на развитие индивидуальных и личностных способностей каждого обучающегося в рамках реализации собственных научно-исследовательских проектов.
если вы обучаетесь на русском языке и планируете сдавать отчетную документацию на русском языке, то вам необходимо выбрать данный вид практики","Если вы обучаетесь на русском языке, то вам необходимо выбрать данный вид практики."
16496,ознакомление с принципами проектной студенческой деятельности на факультете фотоники,На факультете фотоники студенты изучают принципы проектной деятельности на фотонике.
16497,ознакомление с принципами проектной студенческой деятельности на факультете фотоники,На факультете фотоники студенты изучают принципы проектной деятельности на фотонике.
8306,"целью освоения дисциплины является достижение следующих результатов обучения: практическое владение русским языком в различных видах речевой деятельности - знание основ построения текстов академической и деловой сферы. - знание норм композиционного, стилистического и технического оформления текста на иностранном языке. - умение использовать различные формы и виды письменной коммуникации в ситуациях профессионального общения. - умение четко и ясно излагать свою точку зрения на иностранном языке в письменной форме. - знание основных понятий и терминологии своей профессиональной области в объеме, позволяющем осуществлять эффективную коммуникацию на иностранном языке. - знание технологий подготовки устных сообщений и докладов. - знание правил ведения публичной речи, дискуссии и полемики. - умение пользоваться иностранным языком как средством профессионального общения. кол-во семестров: 2",В академической и деловой сфере - знание основных понятий и терминологии русского языка. - умение правильно излагать свою точку зрения на иностранном языке.
8305,"целью освоения дисциплины является достижение следующих результатов обучения: практическое владение русским языком в различных видах речевой деятельности - знание основ построения текстов академической и деловой сферы. - знание норм композиционного, стилистического и технического оформления текста на иностранном языке. - умение использовать различные формы и виды письменной коммуникации в ситуациях профессионального общения. - умение четко и ясно излагать свою точку зрения на иностранном языке в письменной форме. - знание основных понятий и терминологии своей профессиональной области в объеме, позволяющем осуществлять эффективную коммуникацию на иностранном языке. - знание технологий подготовки устных сообщений и докладов. - знание правил ведения публичной речи, дискуссии и полемики. - умение пользоваться иностранным языком как средством профессионального общения. кол-во семестров: 2",В академической и деловой сфере - знание основных понятий и терминологии русского языка. - умение правильно излагать свою точку зрения на иностранном языке.
24685,"дисциплина ""технологии модификации оптических материалов"" знакомит студентов с технологическими приемами, которые используются для изменения свойств оптических материалов при создании устройств фотоники и оптоэлектроники. в рамках дисциплины студенты познакомятся с наиболее распространенными на современном производстве методиками модификации оптических материалов, самостоятельно реализуют несколько из них и оценят эффективность этих методик для различных целей.","Студенты познакомятся с технологическими приемами, которые используются для изменения свойств оптических материалов при создании устройств фотоники и оптоэлектроники."
16503,"рассматриваются вопросы генерации, управления и детектирования фотонов в видимом, ультрафиолетовом и ближнем оптическом диапазоне. фотоника охватывает широкий спектр оптических, электрооптических и оптоэлектронных устройств и их разнообразных применений. коренные области исследований фотоники включают волоконную и интегральную оптику, в том числе нелинейную оптику, физику и технологию полупроводниковых соединений, полупроводниковые лазеры, оптоэлектронные устройства, высокоскоростные электронные устройства.","Фотоника изучает оптическую и интегральную оптику, физику и технологию полупроводниковых соединений."
32886,"дисциплина ""количественные методы в финансах"" позволяет сформировать устойчивые навыки использования математических и статистических методов при управлении финансовыми ресурсами предприятия, а также на основе числовых характеристик объекта (явления) исследования оценить и проанализировать систему количественных показателей и, опираясь на математические модели, принять эффективные решения в сфере управления финансами.","В финансах можно использовать математические и статистические методы при управлении финансовыми ресурсами предприятия, а также проанализировать систему количественных показателей и принять эффективные решения."
32887,"правовое регулирование финансовых операций выступает важной составляющей процесса финансовых отношений, регулирующих финансовую сферу. основная задача курса – ознакомление с содержанием норм финансового права и практикой их применения. целью изучения дисциплины «правовое регулирование финансовых операций» является приобретение студентами знаний и навыков, связанных с вопросами правового регулирования финансовой деятельности, формирование способностей к юридически грамотным решениям и действиям, в условиях функционирования финансовой системы.",Правовое регулирование финансовых операций является важной составляющей процесса финансовых отношений.
24694,"дисциплина ""прикладная голография"" знакомит студентов с физическими основами голографического метода записи и восстановления волновых полей, а также с основными практическими приложениями данного метода","Прикладная голография знакомит студентов с физическими основами голографического метода записи и восстановления волновых полей, а также с основными приложениями данного метода."
24707,"факультатив ""современные проблемы фотоники и оптоинформатики"" познакомит студентов с современными теориями строения оптических материалов, их основными оптическими характеристиками, способами их изменения, актуальной технологией синтеза оптических материалов, способами определения их качества, а также методиками улучшения их механических характеристик и применениями в в промышленном производстве.","Факультатив ""современные проблемы фотоники и оптоинформатики"" познакомит студентов с современными теориями строения оптических материалов."
32899,"данный курс математического анализа проходит в 1 семестре может быть продолжен во 2 семестре (рпд № 35845). он подходит для студентов, успешно освоивших школьный курс математики. в курсе изучаются разделы, связанные с функцией одной вещественной переменной: введение в математический анализ; предел последовательности и функции, непрерывность и дифференцируемость функции. в процессе обучения студенты посещают лекции и практические занятия, а также выполняют задания в часы самостоятельной работы. в рамках курса студенты изучают теоретический материал, закрепляют технику математических вычислений, отрабатывают методы математического анализа, демонстрируют знание и понимание изученного материала, умение применять математические понятия и утверждения при решении задач. в конце семестра проводится экзамен.","В семестре изучаются разделы, связанные с функцией одной вещественной переменной, и выполняют задания в часы самостоятельной работы."
32900,"данный курс математического анализа проходит во 2 семестре и является продолжением соответствующего курса 1-го семестра (рпд № 35844). он подходит для студентов, успешно освоивших 1 семестр математического анализа. в курсе изучаются разделы, связанные с интегрированием функции одной вещественной переменной и теорией рядов. в процессе обучения студенты посещают лекции и практические занятия, а также выполняют задания в часы самостоятельной работы. в рамках курса студенты изучают теоретический материал, закрепляют технику математических вычислений, отрабатывают методы математического анализа, демонстрируют знание и понимание изученного материала, умение применять математические понятия и утверждения при решении задач. в конце семестра проводится экзамен.","В семестре изучаются разделы, связанные с интегрированием функции одной вещественной переменной и теорией рядов."
